keys,en,ru,ua
up_desc_max_food_3,Learn to savour every bite. Consuming a single ration restores 75% of your stamina bar. Nice aftertaste makes you last 25% longer.,Научитесь смаковать каждый кусочек. Потребление одной порции восстанавливает 75% вашей выносливости. Благодаря приятному послевкусию вы продержитесь на 25% дольше.,Навчіться смакувати кожен шматочок. Споживання однієї порції відновлює 75% вашої витривалості. Завдяки приємному післясмаку ви протримаєтеся на 25% довше.
up_desc_max_food_4,Supplement your rations with foraged berries and shrooms. Your stamina bar is further expanded by 25%. Rations restore 90% of your stamina bar.,Дополните свой рацион собранными ягодами и грибами. Ваша выносливость дополнительно увеличивается на 25%. Паек восстанавливает 90% вашей выносливости.,Доповніть свій раціон зібраними ягодами та грибами. Ваша витривалість додатково зростає на 25%. Пайок відновлює 90% вашої витривалості.
up_desc_pockets_storage_1,Train to wear a light backpack. Increases your inventory size by 1.,Тренируйтесь носить легкий рюкзак. Увеличивает размер вашего инвентаря на 1.,Тренуйтеся носити легкий рюкзак. Збільшує розмір вашого інвентарю на 1.
up_desc_pockets_storage_2,Learn how to use the backpack space more efficiently and increase your inventory size by 1.,"Узнайте, как более эффективно использовать место в рюкзаке и увеличить размер инвентаря на 1.","Дізнайтеся, як ефективніше використовувати простір у рюкзаку та збільшити розмір свого інвентарю на 1."
up_desc_pockets_storage_3,Train to wear and fight with a big backpack. Increase your inventory space by another 2 slots.,Тернируйтесь носить и сражаться с большим рюкзаком. Увеличивает место в инвентаре еще на два слота.,Тренуйтеся носити і битися з великим рюкзаком. Збільште свій інвентар ще на два слоти.
up_desc_pockets_storage_4,"It's basically magic at this point, by you can now somehow carry another 2 items.","Это какая-то магия, теперь вы можете носить еще два предмета.","Це якась магія, тепер ви можете якось носити ще 2 предмети."
up_desc_cannery_1,Allows packing any 4 ingredients into a single ration.,Позволяет упаковать любые 4 ингредиента в паек.,Дозволяє упакувати будь-які 4 інгредієнти в один раціон.
up_desc_cannery_2,Reduces amount of required ingredients to 3.,"Уменьшает кол-во необходимых ингредиентов до 3,",Зменшує кількість необхідних інгредієнтів до 3.
up_desc_storage_1,Store up to additional 8 items.,Храните на 8 вещей больше.,Тримайте на 8 речей більше.
up_desc_storage_2,Store up to additional 14 items.,Увеличивает хранилище еще на 14 слотов.,Збільшує сховище ще на 14 слотів.
up_desc_storage_3,Increase your storage by another 14 items.,Увеличивает хранилище еще на 14 слотов.,Збільшує сховище ще на 14 слотів.
up_desc_storage_4,The biggest storage expansion. Store another 16 items.,Самое большое хранилище. На 16 слотов больше предыдущего.,Найбільше сховище. На 16 слотів більше за попереднє.
up_desc_money_storage_1,Increase your money safe to fit another 500 coins.,"Увеличьте свой денежный сейф, чтобы вместить еще 500 монет.","Збільште свій грошовий сейф, щоб вмістити ще 500 монет."
up_desc_money_storage_2,Increase your money safe to fit another 750 coins.,"Увеличьте свой денежный сейф, чтобы вместить еще 750 монет.","Збільште свій грошовий сейф, щоб вмістити ще 750 монет."
up_desc_money_storage_3,Increase your money safe to fit another 1000 coins.,"Увеличьте свой денежный сейф, чтобы вместить еще 1000 монет.","Збільште свій грошовий сейф, щоб вмістити ще 1000 монет."
up_desc_money_storage_4,Increase your money safe to fit another 1500 coins.,"Увеличьте свой денежный сейф, чтобы вместить еще 1500 монет.","Збільште свій грошовий сейф, щоб вмістити ще 1500 монет."
up_desc_quest_board_1,"A request board, which can hold up to three special orders.","Доска запросов, на которой может храниться до трех специальных заказов.","Дошка запитів, яка може вмістити до трьох спеціальних замовлень."
up_desc_quest_board_2,Bigger request board can fit up to five special orders.,Большая доска запросов может вместить до пяти специальных заказов.,Велика дошка запитів може вмістити до п’яти спеціальних замовлень.
up_desc_quest_board_3,Provide enough space for up to seven special orders.,Обеспечьте достаточно места для размещения до семи специальных заказов.,Забезпечте достатньо місця для до семи спеціальних замовлень.
up_desc_counter_1,Fit one more bagel onto your counter.,Поместите еще один бублик на свой прилавок.,Покладіть ще один бублік на свій прилавок.
up_desc_counter_2,Fit one more bagel onto your counter.,Поместите еще один бублик на свой прилавок.,Покладіть ще один бублік на свій прилавок.
up_desc_counter_3,Fit two more bagels onto your counter.,Поместите еще два бублика на свой прилавок.,Покладіть ще два бубліка на свій прилавок.
